lat,lon,sunrise,sunset,solar_noon,day_length_sec,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,day_length_hr
31.83,-112.32,2026-05-22T05:26:37-07:00,2026-05-22T19:25:22-07:00,2026-05-22T12:25:59-07:00,50325,2026-05-22T05:00:44-07:00,2026-05-22T19:51:15-07:00,2026-05-22T04:27:44-07:00,2026-05-22T20:24:15-07:00,2026-05-22T03:52:35-07:00,2026-05-22T20:59:23-07:00,13.9792
31.83,-111.82,2026-05-22T05:24:37-07:00,2026-05-22T19:23:22-07:00,2026-05-22T12:23:59-07:00,50325,2026-05-22T04:58:44-07:00,2026-05-22T19:49:15-07:00,2026-05-22T04:25:44-07:00,2026-05-22T20:22:15-07:00,2026-05-22T03:50:35-07:00,2026-05-22T20:57:23-07:00,13.9792
31.83,-111.32,2026-05-22T05:22:37-07:00,2026-05-22T19:21:22-07:00,2026-05-22T12:21:59-07:00,50325,2026-05-22T04:56:44-07:00,2026-05-22T19:47:15-07:00,2026-05-22T04:23:44-07:00,2026-05-22T20:20:14-07:00,2026-05-22T03:48:35-07:00,2026-05-22T20:55:23-07:00,13.9792
31.83,-110.82,2026-05-22T05:20:37-07:00,2026-05-22T19:19:22-07:00,2026-05-22T12:19:59-07:00,50325,2026-05-22T04:54:44-07:00,2026-05-22T19:45:14-07:00,2026-05-22T04:21:44-07:00,2026-05-22T20:18:14-07:00,2026-05-22T03:46:35-07:00,2026-05-22T20:53:23-07:00,13.9792
31.83,-110.32,2026-05-22T05:18:37-07:00,2026-05-22T19:17:21-07:00,2026-05-22T12:17:59-07:00,50324,2026-05-22T04:52:44-07:00,2026-05-22T19:43:14-07:00,2026-05-22T04:19:44-07:00,2026-05-22T20:16:14-07:00,2026-05-22T03:44:36-07:00,2026-05-22T20:51:23-07:00,13.9789
31.83,-109.82,2026-05-22T05:16:37-07:00,2026-05-22T19:15:21-07:00,2026-05-22T12:15:59-07:00,50324,2026-05-22T04:50:44-07:00,2026-05-22T19:41:14-07:00,2026-05-22T04:17:44-07:00,2026-05-22T20:14:14-07:00,2026-05-22T03:42:36-07:00,2026-05-22T20:49:23-07:00,13.9789
31.83,-109.32,2026-05-22T05:14:37-07:00,2026-05-22T19:13:21-07:00,2026-05-22T12:13:59-07:00,50324,2026-05-22T04:48:44-07:00,2026-05-22T19:39:14-07:00,2026-05-22T04:15:44-07:00,2026-05-22T20:12:14-07:00,2026-05-22T03:40:36-07:00,2026-05-22T20:47:22-07:00,13.9789
31.83,-108.82,2026-05-22T05:12:37-07:00,2026-05-22T19:11:21-07:00,2026-05-22T12:11:59-07:00,50324,2026-05-22T04:46:44-07:00,2026-05-22T19:37:14-07:00,2026-05-22T04:13:44-07:00,2026-05-22T20:10:14-07:00,2026-05-22T03:38:36-07:00,2026-05-22T20:45:22-07:00,13.9789
32.33,-114.82,2026-05-22T05:35:30-07:00,2026-05-22T19:36:29-07:00,2026-05-22T12:35:59-07:00,50459,2026-05-22T05:09:26-07:00,2026-05-22T20:02:33-07:00,2026-05-22T04:36:09-07:00,2026-05-22T20:35:50-07:00,2026-05-22T04:00:38-07:00,2026-05-22T21:11:21-07:00,14.0164
32.33,-114.32,2026-05-22T05:33:30-07:00,2026-05-22T19:34:29-07:00,2026-05-22T12:33:59-07:00,50459,2026-05-22T05:07:26-07:00,2026-05-22T20:00:33-07:00,2026-05-22T04:34:09-07:00,2026-05-22T20:33:50-07:00,2026-05-22T03:58:38-07:00,2026-05-22T21:09:21-07:00,14.0164
32.33,-113.82,2026-05-22T05:31:30-07:00,2026-05-22T19:32:28-07:00,2026-05-22T12:31:59-07:00,50458,2026-05-22T05:05:26-07:00,2026-05-22T19:58:33-07:00,2026-05-22T04:32:09-07:00,2026-05-22T20:31:49-07:00,2026-05-22T03:56:38-07:00,2026-05-22T21:07:21-07:00,14.0161
32.33,-113.32,2026-05-22T05:29:30-07:00,2026-05-22T19:30:28-07:00,2026-05-22T12:29:59-07:00,50458,2026-05-22T05:03:26-07:00,2026-05-22T19:56:33-07:00,2026-05-22T04:30:09-07:00,2026-05-22T20:29:49-07:00,2026-05-22T03:54:38-07:00,2026-05-22T21:05:21-07:00,14.0161
32.33,-112.82,2026-05-22T05:27:30-07:00,2026-05-22T19:28:28-07:00,2026-05-22T12:27:59-07:00,50458,2026-05-22T05:01:26-07:00,2026-05-22T19:54:33-07:00,2026-05-22T04:28:09-07:00,2026-05-22T20:27:49-07:00,2026-05-22T03:52:38-07:00,2026-05-22T21:03:20-07:00,14.0161
32.33,-112.32,2026-05-22T05:25:30-07:00,2026-05-22T19:26:28-07:00,2026-05-22T12:25:59-07:00,50458,2026-05-22T04:59:26-07:00,2026-05-22T19:52:32-07:00,2026-05-22T04:26:09-07:00,2026-05-22T20:25:49-07:00,2026-05-22T03:50:38-07:00,2026-05-22T21:01:20-07:00,14.0161
32.33,-111.82,2026-05-22T05:23:30-07:00,2026-05-22T19:24:28-07:00,2026-05-22T12:23:59-07:00,50458,2026-05-22T04:57:26-07:00,2026-05-22T19:50:32-07:00,2026-05-22T04:24:09-07:00,2026-05-22T20:23:49-07:00,2026-05-22T03:48:38-07:00,2026-05-22T20:59:20-07:00,14.0161
32.33,-111.32,2026-05-22T05:21:30-07:00,2026-05-22T19:22:28-07:00,2026-05-22T12:21:59-07:00,50458,2026-05-22T04:55:26-07:00,2026-05-22T19:48:32-07:00,2026-05-22T04:22:09-07:00,2026-05-22T20:21:49-07:00,2026-05-22T03:46:38-07:00,2026-05-22T20:57:20-07:00,14.0161
32.33,-110.82,2026-05-22T05:19:30-07:00,2026-05-22T19:20:28-07:00,2026-05-22T12:19:59-07:00,50458,2026-05-22T04:53:26-07:00,2026-05-22T19:46:32-07:00,2026-05-22T04:20:09-07:00,2026-05-22T20:19:49-07:00,2026-05-22T03:44:38-07:00,2026-05-22T20:55:20-07:00,14.0161
32.33,-110.32,2026-05-22T05:17:30-07:00,2026-05-22T19:18:28-07:00,2026-05-22T12:17:59-07:00,50458,2026-05-22T04:51:26-07:00,2026-05-22T19:44:32-07:00,2026-05-22T04:18:09-07:00,2026-05-22T20:17:49-07:00,2026-05-22T03:42:38-07:00,2026-05-22T20:53:20-07:00,14.0161
32.33,-109.82,2026-05-22T05:15:30-07:00,2026-05-22T19:16:28-07:00,2026-05-22T12:15:59-07:00,50458,2026-05-22T04:49:26-07:00,2026-05-22T19:42:32-07:00,2026-05-22T04:16:09-07:00,2026-05-22T20:15:49-07:00,2026-05-22T03:40:38-07:00,2026-05-22T20:51:20-07:00,14.0161
32.33,-109.32,2026-05-22T05:13:30-07:00,2026-05-22T19:14:28-07:00,2026-05-22T12:13:59-07:00,50458,2026-05-22T04:47:26-07:00,2026-05-22T19:40:32-07:00,2026-05-22T04:14:09-07:00,2026-05-22T20:13:49-07:00,2026-05-22T03:38:38-07:00,2026-05-22T20:49:20-07:00,14.0161
32.33,-108.82,2026-05-22T05:11:30-07:00,2026-05-22T19:12:28-07:00,2026-05-22T12:11:59-07:00,50458,2026-05-22T04:45:26-07:00,2026-05-22T19:38:32-07:00,2026-05-22T04:12:09-07:00,2026-05-22T20:11:49-07:00,2026-05-22T03:36:38-07:00,2026-05-22T20:47:20-07:00,14.0161
32.83,-114.82,2026-05-22T05:34:22-07:00,2026-05-22T19:37:36-07:00,2026-05-22T12:35:59-07:00,50594,2026-05-22T05:08:07-07:00,2026-05-22T20:03:52-07:00,2026-05-22T04:34:32-07:00,2026-05-22T20:37:26-07:00,2026-05-22T03:58:37-07:00,2026-05-22T21:13:21-07:00,14.0539
32.83,-114.32,2026-05-22T05:32:22-07:00,2026-05-22T19:35:36-07:00,2026-05-22T12:33:59-07:00,50594,2026-05-22T05:06:07-07:00,2026-05-22T20:01:52-07:00,2026-05-22T04:32:32-07:00,2026-05-22T20:35:26-07:00,2026-05-22T03:56:37-07:00,2026-05-22T21:11:21-07:00,14.0539
32.83,-113.82,2026-05-22T05:30:22-07:00,2026-05-22T19:33:36-07:00,2026-05-22T12:31:59-07:00,50594,2026-05-22T05:04:07-07:00,2026-05-22T19:59:52-07:00,2026-05-22T04:30:32-07:00,2026-05-22T20:33:26-07:00,2026-05-22T03:54:38-07:00,2026-05-22T21:09:21-07:00,14.0539
32.83,-113.32,2026-05-22T05:28:22-07:00,2026-05-22T19:31:36-07:00,2026-05-22T12:29:59-07:00,50594,2026-05-22T05:02:07-07:00,2026-05-22T19:57:52-07:00,2026-05-22T04:28:32-07:00,2026-05-22T20:31:26-07:00,2026-05-22T03:52:38-07:00,2026-05-22T21:07:21-07:00,14.0539
32.83,-112.82,2026-05-22T05:26:22-07:00,2026-05-22T19:29:36-07:00,2026-05-22T12:27:59-07:00,50594,2026-05-22T05:00:07-07:00,2026-05-22T19:55:52-07:00,2026-05-22T04:26:32-07:00,2026-05-22T20:29:26-07:00,2026-05-22T03:50:38-07:00,2026-05-22T21:05:21-07:00,14.0539
32.83,-112.32,2026-05-22T05:24:23-07:00,2026-05-22T19:27:36-07:00,2026-05-22T12:25:59-07:00,50593,2026-05-22T04:58:07-07:00,2026-05-22T19:53:51-07:00,2026-05-22T04:24:32-07:00,2026-05-22T20:27:26-07:00,2026-05-22T03:48:38-07:00,2026-05-22T21:03:20-07:00,14.0536
32.83,-111.82,2026-05-22T05:22:23-07:00,2026-05-22T19:25:36-07:00,2026-05-22T12:23:59-07:00,50593,2026-05-22T04:56:07-07:00,2026-05-22T19:51:51-07:00,2026-05-22T04:22:33-07:00,2026-05-22T20:25:26-07:00,2026-05-22T03:46:38-07:00,2026-05-22T21:01:20-07:00,14.0536
32.83,-111.32,2026-05-22T05:20:23-07:00,2026-05-22T19:23:36-07:00,2026-05-22T12:21:59-07:00,50593,2026-05-22T04:54:07-07:00,2026-05-22T19:49:51-07:00,2026-05-22T04:20:33-07:00,2026-05-22T20:23:26-07:00,2026-05-22T03:44:38-07:00,2026-05-22T20:59:20-07:00,14.0536
32.83,-110.82,2026-05-22T05:18:23-07:00,2026-05-22T19:21:36-07:00,2026-05-22T12:19:59-07:00,50593,2026-05-22T04:52:07-07:00,2026-05-22T19:47:51-07:00,2026-05-22T04:18:33-07:00,2026-05-22T20:21:26-07:00,2026-05-22T03:42:38-07:00,2026-05-22T20:57:20-07:00,14.0536
32.83,-110.32,2026-05-22T05:16:23-07:00,2026-05-22T19:19:35-07:00,2026-05-22T12:17:59-07:00,50592,2026-05-22T04:50:07-07:00,2026-05-22T19:45:51-07:00,2026-05-22T04:16:33-07:00,2026-05-22T20:19:25-07:00,2026-05-22T03:40:38-07:00,2026-05-22T20:55:20-07:00,14.0533
32.83,-109.82,2026-05-22T05:14:23-07:00,2026-05-22T19:17:35-07:00,2026-05-22T12:15:59-07:00,50592,2026-05-22T04:48:07-07:00,2026-05-22T19:43:51-07:00,2026-05-22T04:14:33-07:00,2026-05-22T20:17:25-07:00,2026-05-22T03:38:38-07:00,2026-05-22T20:53:20-07:00,14.0533
32.83,-109.32,2026-05-22T05:12:23-07:00,2026-05-22T19:15:35-07:00,2026-05-22T12:13:59-07:00,50592,2026-05-22T04:46:07-07:00,2026-05-22T19:41:51-07:00,2026-05-22T04:12:33-07:00,2026-05-22T20:15:25-07:00,2026-05-22T03:36:38-07:00,2026-05-22T20:51:20-07:00,14.0533
32.83,-108.82,2026-05-22T05:10:23-07:00,2026-05-22T19:13:35-07:00,2026-05-22T12:11:59-07:00,50592,2026-05-22T04:44:07-07:00,2026-05-22T19:39:51-07:00,2026-05-22T04:10:33-07:00,2026-05-22T20:13:25-07:00,2026-05-22T03:34:38-07:00,2026-05-22T20:49:20-07:00,14.0533
33.33,-114.82,2026-05-22T05:33:14-07:00,2026-05-22T19:38:44-07:00,2026-05-22T12:35:59-07:00,50730,2026-05-22T05:06:46-07:00,2026-05-22T20:05:12-07:00,2026-05-22T04:32:54-07:00,2026-05-22T20:39:04-07:00,2026-05-22T03:56:35-07:00,2026-05-22T21:15:24-07:00,14.0917
33.33,-114.32,2026-05-22T05:31:14-07:00,2026-05-22T19:36:44-07:00,2026-05-22T12:33:59-07:00,50730,2026-05-22T05:04:46-07:00,2026-05-22T20:03:12-07:00,2026-05-22T04:30:54-07:00,2026-05-22T20:37:04-07:00,2026-05-22T03:54:35-07:00,2026-05-22T21:13:24-07:00,14.0917
33.33,-113.82,2026-05-22T05:29:14-07:00,2026-05-22T19:34:44-07:00,2026-05-22T12:31:59-07:00,50730,2026-05-22T05:02:46-07:00,2026-05-22T20:01:12-07:00,2026-05-22T04:28:54-07:00,2026-05-22T20:35:04-07:00,2026-05-22T03:52:35-07:00,2026-05-22T21:11:24-07:00,14.0917
33.33,-113.32,2026-05-22T05:27:14-07:00,2026-05-22T19:32:44-07:00,2026-05-22T12:29:59-07:00,50730,2026-05-22T05:00:46-07:00,2026-05-22T19:59:12-07:00,2026-05-22T04:26:54-07:00,2026-05-22T20:33:04-07:00,2026-05-22T03:50:35-07:00,2026-05-22T21:09:24-07:00,14.0917
33.33,-112.82,2026-05-22T05:25:14-07:00,2026-05-22T19:30:44-07:00,2026-05-22T12:27:59-07:00,50730,2026-05-22T04:58:46-07:00,2026-05-22T19:57:12-07:00,2026-05-22T04:24:54-07:00,2026-05-22T20:31:04-07:00,2026-05-22T03:48:35-07:00,2026-05-22T21:07:23-07:00,14.0917
